line,name,objectid,url,xcoord,ycoord
J,Patchen Ave & Broadway at NE corner,93.0000000000000000000000000000000,http://web.mta.info/nyct/service/,-73.9282569999367,40.6929300008525
J,Patchen Ave & Broadway at SW corner,94.0000000000000000000000000000000,http://web.mta.info/nyct/service/,-73.927939999869,40.692929001344
J-M-Z,Broadway & Myrtle Ave at NW corner,95.0000000000000000000000000000000,http://web.mta.info/nyct/service/,-73.9354609997631,40.6968930012054
J-M-Z,Broadway & Myrtle Ave at SW corner,96.0000000000000000000000000000000,http://web.mta.info/nyct/service/,-73.935559000134,40.6969870012035
J-M,Flushing Ave & Broadway at SE corner,97.0000000000000000000000000000000,http://web.mta.info/nyct/service/,-73.941994999535,40.7006290010874
J-M,,98.0000000000000000000000000000000,http://web.mta.info/nyct/service/,-73.9416720003705,40.7007200012088
J-M,Flushing Ave & Broadway at SE corner,99.0000000000000000000000000000000,http://web.mta.info/nyct/service/,-73.9421730000514,40.700634001148
J-M,Flushing Ave & Broadway at NW corner,100.0000000000000000000000000000000,http://web.mta.info/nyct/service/,-73.9417099999789,40.7008470007834
J-M,Moore St & Broadway at SW corner,101.0000000000000000000000000000000,http://web.mta.info/nyct/service/,-73.9483239994394,40.7042790009205
M,Myrtle Ave & Cedar St at NW corner,121.0000000000000000000000000000000,http://web.mta.info/nyct/service/,-73.9263710000892,40.6980330006764
M,Myrtle Ave & Cedar St at SW corner,122.0000000000000000000000000000000,http://web.mta.info/nyct/service/,-73.9265249998294,40.6978760010599
G,Union Ave & Flushing Ave at SW corner,182.0000000000000000000000000000000,http://web.mta.info/nyct/service/,-73.95016400039,40.699582000525
G,Marcy Ave & Myrtle Ave at NW corner,183.0000000000000000000000000000000,http://web.mta.info/nyct/service/,-73.9494800002978,40.6954360011202
G,Nostrand Ave & Lafayette Ave at NW corner,184.0000000000000000000000000000000,http://web.mta.info/nyct/service/,-73.9516160001041,40.6899950005537
G,Nostrand Ave & Lafayette Ave at SW corner,185.0000000000000000000000000000000,http://web.mta.info/nyct/service/,-73.9516120002398,40.6897570012905
G,Classon Ave & Lafayette Ave at NW corner,186.0000000000000000000000000000000,http://web.mta.info/nyct/service/,-73.9602150002176,40.6889420005461
G,Classon Ave & Lafayette Ave at SE corner,187.0000000000000000000000000000000,http://web.mta.info/nyct/service/,-73.9598710001623,40.6887810007737
G,Classon Ave & Lafayette Ave at SW corner,188.0000000000000000000000000000000,http://web.mta.info/nyct/service/,-73.9601899998946,40.6887530011425
G,Clinton Ave & Lafayette Ave at NE corner,189.0000000000000000000000000000000,http://web.mta.info/nyct/service/,-73.9675750005051,40.6881140011738
G,Clinton Ave & Lafayette Ave at NE corner,190.0000000000000000000000000000000,http://web.mta.info/nyct/service/,-73.9675750005051,40.6881140011738
G,Clinton Ave & Lafayette Ave at SW corner,191.0000000000000000000000000000000,http://web.mta.info/nyct/service/,-73.9679310003171,40.6878750010873
G,Clinton Ave & Lafayette Ave at SW corner,192.0000000000000000000000000000000,http://web.mta.info/nyct/service/,-73.9679310003171,40.6878750010873
G,Washington Ave & Lafayette Ave at NE corner,193.0000000000000000000000000000000,http://web.mta.info/nyct/service/,-73.9657489997568,40.6884600005732
G,Washington Ave & Lafayette Ave at NE corner,194.0000000000000000000000000000000,http://web.mta.info/nyct/service/,-73.9657489997568,40.6884600005732
G,Washington Ave & Lafayette Ave at SE corner,195.0000000000000000000000000000000,http://web.mta.info/nyct/service/,-73.965578999989,40.6881570009035
G,Washington Ave & Lafayette Ave at SE corner,196.0000000000000000000000000000000,http://web.mta.info/nyct/service/,-73.965578999989,40.6881570009035
G,Fort Greene Pl & Lafayette Ave at NE corner,197.0000000000000000000000000000000,http://web.mta.info/nyct/service/,-73.9762899995137,40.687159000676
G,Fort Greene Pl & Lafayette Ave at NW corner,198.0000000000000000000000000000000,http://web.mta.info/nyct/service/,-73.9768650004256,40.6871600011162
A-C-J-Z-2-3-4-5,Red Cross Pl & Adams St at SW corner,416.0000000000000000000000000000000,http://web.mta.info/nyct/service/,-73.9889200002651,40.6991120007763
A-C-J-Z-2-3-4-5,Sands St & Adams St at SE corner,417.0000000000000000000000000000000,http://web.mta.info/nyct/service/,-73.988273999866,40.6992120007885
A-C-F-R,Jay St & Metrotech Walk at SW corner,418.0000000000000000000000000000000,http://web.mta.info/nyct/service/,-73.9874019998369,40.6932430009301
A-C-F-R,Jay St & Metrotech Walk at SE corner,419.0000000000000000000000000000000,http://web.mta.info/nyct/service/,-73.9870890002048,40.6934910008009
A-C-F-R,Jay St & Metrotech Walk at SW corner,420.0000000000000000000000000000000,http://web.mta.info/nyct/service/,-73.9874079997551,40.693153000728
A-C-F-R,Jay St & Metrotech Walk at SW corner,421.0000000000000000000000000000000,http://web.mta.info/nyct/service/,-73.9874839994311,40.6931530009137
A-C-F-R,Jay St & Metrotech Walk at SW corner,422.0000000000000000000000000000000,http://web.mta.info/nyct/service/,-73.9874809999493,40.6932430005457
A-C-F-R,Jay St & Willoughby St at NE corner,423.0000000000000000000000000000000,http://web.mta.info/nyct/service/,-73.9871619999767,40.692397001055
A-C-F-R,Jay St & Willoughby St at NE corner,424.0000000000000000000000000000000,http://web.mta.info/nyct/service/,-73.9871669997547,40.6923290011767
C,Washington Ave & Fulton Ave at SE corner,425.0000000000000000000000000000000,http://web.mta.info/nyct/service/,-73.9646299997024,40.6828680009648
C,Washington Ave & Fulton Ave at NE corner,426.0000000000000000000000000000000,http://web.mta.info/nyct/service/,-73.9646889997519,40.6831720011212
